activity_label,activity_start_date,activity_start_time,activity_end_date,activity_end_time,height
Walking,2025-05-21,23:06:31,2025-05-21,23:08:34,170
Walking,2025-05-21,23:09:31,2025-05-21,23:11:31,170
Walking,2025-05-21,23:12:07,2025-05-21,23:14:19,170
Walking,2025-05-21,23:14:46,2025-05-21,23:16:51,170
Walking,2025-05-21,23:17:55,2025-05-21,23:19:59,170
Standing,2025-05-21,23:43:30,2025-05-21,23:45:56,170
Standing,2025-05-21,23:46:11,2025-05-21,23:48:14,170
Standing,2025-05-21,23:48:25,2025-05-21,23:50:27,170
Standing,2025-05-21,23:50:47,2025-05-21,23:52:55,170
Standing,2025-05-21,23:53:22,2025-05-21,23:55:26,170
Running,2025-05-22,19:30:59,2025-05-22,19:33:03,170
Running,2025-05-22,19:44:15,2025-05-22,19:46:12,170
Running,2025-05-22,19:54:51,2025-05-22,19:57:06,170
Running,2025-05-22,20:01:47,2025-05-22,20:04:22,170
Running,2025-05-22,20:08:04,2025-05-22,20:10:20,170
Walking,2025-05-22,22:29:00,2025-05-22,22:31:18,175
Walking,2025-05-22,22:31:52,2025-05-22,22:34:06,175
Walking,2025-05-22,22:36:34,2025-05-22,22:38:33,175
Walking,2025-05-22,22:39:35,2025-05-22,22:41:31,175
Walking,2025-05-22,22:46:50,2025-05-22,22:49:02,175
Running,2025-05-22,22:57:53,2025-05-22,23:00:05,175
Running,2025-05-22,23:01:28,2025-05-22,23:03:32,175
Running,2025-05-22,23:06:30,2025-05-22,23:08:31,175
Running,2025-05-22,23:13:05,2025-05-22,23:15:05,175
Running,2025-05-22,23:17:05,2025-05-22,23:19:14,175
Standing,2025-05-22,23:27:17,2025-05-22,23:29:21,175
Standing,2025-05-22,23:29:28,2025-05-22,23:31:38,175
Standing,2025-05-22,23:32:06,2025-05-22,23:34:08,175
Standing,2025-05-22,23:34:36,2025-05-22,23:36:35,175
Standing,2025-05-22,23:36:45,2025-05-22,23:39:07,175
Walking,2025-05-23,01:11:53,2025-05-23,01:14:23,183
Walking,2025-05-23,01:14:38,2025-05-23,01:16:33,183
Walking,2025-05-23,01:16:55,2025-05-23,01:19:01,183
Walking,2025-05-23,01:20:27,2025-05-23,01:22:31,183
Walking,2025-05-23,01:22:48,2025-05-23,01:25:05,183
Running,2025-05-23,01:38:12,2025-05-23,01:40:12,183
Running,2025-05-23,01:40:48,2025-05-23,01:43:00,183
Running,2025-05-23,01:43:31,2025-05-23,01:45:37,183
Running,2025-05-23,01:46:44,2025-05-23,01:48:48,183
Running,2025-05-23,01:49:58,2025-05-23,01:52:08,183
Standing,2025-05-23,01:53:05,2025-05-23,01:55:29,183
Standing,2025-05-23,01:55:33,2025-05-23,01:57:49,183
Standing,2025-05-23,01:57:55,2025-05-23,02:00:02,183
Standing,2025-05-23,02:00:15,2025-05-23,02:02:16,183
Standing,2025-05-23,02:02:26,2025-05-23,02:04:29,183
Walking,2025-05-23,21:31:25,2025-05-23,21:33:40,173
Walking,2025-05-23,21:35:36,2025-05-23,21:36:42,173
Walking,2025-05-23,21:37:17,2025-05-23,21:38:13,173
Walking,2025-05-23,21:38:45,2025-05-23,21:40:47,173
Walking,2025-05-23,21:41:58,2025-05-23,21:44:01,173
Walking,2025-05-23,21:45:21,2025-05-23,21:47:24,173
Standing,2025-05-23,21:48:29,2025-05-23,21:50:31,173
Standing,2025-05-23,21:50:44,2025-05-23,21:52:42,173
Standing,2025-05-23,21:52:53,2025-05-23,21:55:12,173
Standing,2025-05-23,21:55:20,2025-05-23,21:57:18,173
Standing,2025-05-23,21:57:41,2025-05-23,21:59:44,173
Running,2025-05-23,22:04:50,2025-05-23,22:06:50,173
Running,2025-05-23,22:08:05,2025-05-23,22:10:05,173
Running,2025-05-23,22:14:13,2025-05-23,22:16:18,173
Running,2025-05-23,22:20:36,2025-05-23,22:22:43,173
Running,2025-05-23,22:27:04,2025-05-23,22:29:07,173
Walking,2025-05-23,22:38:06,2025-05-23,22:40:11,182
Walking,2025-05-23,22:40:20,2025-05-23,22:42:23,182
Walking,2025-05-23,22:42:32,2025-05-23,22:44:35,182
Walking,2025-05-23,22:44:43,2025-05-23,22:46:48,182
Walking,2025-05-23,22:47:49,2025-05-23,22:49:53,182
Running,2025-05-23,22:51:42,2025-05-23,22:54:17,182
Running,2025-05-23,22:55:33,2025-05-23,22:57:20,182
Running,2025-05-23,23:06:44,2025-05-23,23:09:05,182
Running,2025-05-23,23:10:10,2025-05-23,23:12:10,182
Running,2025-05-23,23:17:05,2025-05-23,23:19:01,182
Standing,2025-05-23,23:19:24,2025-05-23,23:21:17,182
Standing,2025-05-23,23:22:11,2025-05-23,23:24:38,182
Standing,2025-05-23,23:24:52,2025-05-23,23:27:04,182
Standing,2025-05-23,23:27:22,2025-05-23,23:29:33,182
Standing,2025-05-23,23:29:43,2025-05-23,23:32:06,182
Walking,2025-05-23,23:44:35,2025-05-23,23:46:37,157
Walking,2025-05-23,23:47:01,2025-05-23,23:49:03,157
Walking,2025-05-23,23:49:26,2025-05-23,23:51:30,157
Walking,2025-05-23,23:52:29,2025-05-23,23:54:31,157
Walking,2025-05-23,23:54:48,2025-05-23,23:56:33,157
Running,2025-05-23,23:59:46,2025-05-24,00:01:51,157
Running,2025-05-24,00:02:12,2025-05-24,00:04:14,157
Running,2025-05-24,00:05:11,2025-05-24,00:07:13,157
Running,2025-05-24,00:08:55,2025-05-24,00:10:57,157
Running,2025-05-24,00:12:01,2025-05-24,00:14:04,157
Standing,2025-05-24,00:14:31,2025-05-24,00:16:33,157
Standing,2025-05-24,00:16:38,2025-05-24,00:18:39,157
Standing,2025-05-24,00:18:46,2025-05-24,00:20:48,157
Standing,2025-05-24,00:21:00,2025-05-24,00:23:02,157
Standing,2025-05-24,00:23:13,2025-05-24,00:25:15,157
Walking,2025-05-24,00:38:07,2025-05-24,00:40:07,175
Walking,2025-05-24,00:43:05,2025-05-24,00:45:02,175
Walking,2025-05-24,00:45:17,2025-05-24,00:47:15,175
Walking,2025-05-24,00:47:35,2025-05-24,00:49:23,175
Standing,2025-05-24,00:50:30,2025-05-24,00:52:46,175
Standing,2025-05-24,00:53:44,2025-05-24,00:55:48,175
Standing,2025-05-24,00:55:53,2025-05-24,00:57:55,175
Standing,2025-05-24,00:58:09,2025-05-24,01:00:12,175
Standing,2025-05-24,01:00:27,2025-05-24,01:02:32,175
Running,2025-05-24,01:03:46,2025-05-24,01:05:50,175
Running,2025-05-24,01:06:08,2025-05-24,01:08:08,175
Running,2025-05-24,01:08:30,2025-05-24,01:10:31,175
Running,2025-05-24,01:12:06,2025-05-24,01:14:08,175
Running,2025-05-24,01:14:17,2025-05-24,01:16:18,175
Laying,2025-05-24,21:21:40,2025-05-24,21:24:01,170
Laying,2025-05-24,21:24:03,2025-05-24,21:26:10,170
Laying,2025-05-24,21:26:18,2025-05-24,21:28:34,170
Laying,2025-05-24,21:28:42,2025-05-24,21:31:01,170
Laying,2025-05-24,21:31:11,2025-05-24,21:33:25,170
Laying,2025-05-24,21:39:44,2025-05-24,21:41:54,173
Laying,2025-05-24,21:41:57,2025-05-24,21:44:02,173
Laying,2025-05-24,21:44:05,2025-05-24,21:46:32,173
Laying,2025-05-24,21:46:34,2025-05-24,21:48:31,173
Laying,2025-05-24,21:48:46,2025-05-24,21:50:51,173
Laying,2025-05-24,21:58:06,2025-05-24,22:00:10,157
Laying,2025-05-24,22:00:15,2025-05-24,22:02:23,157
Laying,2025-05-24,22:04:40,2025-05-24,22:06:43,157
Laying,2025-05-24,22:06:51,2025-05-24,22:08:54,157
Laying,2025-05-24,22:08:59,2025-05-24,22:11:04,157
